epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,4905.6,0.54521,0.70283,0.27105,0.83376,0.98044,0.95882,0.98701,0.89162,0.97743,0.95597,0.98258,0.84965,0.61248,0.92327,0.33711,0.84872,0.000305872,0.000305872,0.000305872
107,4953.47,0.55195,0.70721,0.27088,0.83635,0.99044,0.93999,0.9769,0.89685,0.99044,0.93999,0.97613,0.85422,0.55645,0.8727,0.32905,0.83398,0.000293979,0.000293979,0.000293979
108,5001.02,0.50671,0.66449,0.25919,0.82699,0.97771,0.96676,0.98616,0.90111,0.97448,0.96363,0.98447,0.85883,0.55721,0.88017,0.31644,0.83356,0.000282273,0.000282273,0.000282273
109,5047.02,0.45567,0.63355,0.24355,0.81872,0.98634,0.96304,0.98935,0.90922,0.98634,0.96304,0.98947,0.86572,0.55384,0.86457,0.31094,0.83026,0.00027076,0.00027076,0.00027076
110,5094.21,0.44215,0.62183,0.23897,0.81334,0.98844,0.97895,0.99184,0.90613,0.9879,0.98024,0.99195,0.86613,0.56089,0.88212,0.30131,0.83158,0.000259445,0.000259445,0.000259445
111,5141.8,0.43955,0.61318,0.24024,0.81235,0.98167,0.97452,0.9895,0.90161,0.98225,0.97509,0.98959,0.86073,0.58169,0.89654,0.31558,0.83543,0.000248332,0.000248332,0.000248332
112,5188.22,0.44371,0.61612,0.24019,0.81388,0.98269,0.97683,0.99073,0.90489,0.98275,0.9774,0.99128,0.86248,0.57575,0.90721,0.30849,0.8354,0.000237427,0.000237427,0.000237427
113,5234.01,0.45895,0.63061,0.24332,0.81647,0.9895,0.95699,0.98985,0.90245,0.9895,0.95699,0.98998,0.85976,0.56784,0.91493,0.31463,0.83479,0.000226735,0.000226735,0.000226735
114,5280.78,0.46598,0.63072,0.24743,0.81551,0.9834,0.96876,0.98918,0.90261,0.98693,0.96364,0.9894,0.86382,0.57709,0.90915,0.31406,0.83555,0.000216259,0.000216259,0.000216259
115,5326.23,0.46921,0.64271,0.24516,0.81584,0.99165,0.96434,0.99081,0.90929,0.98868,0.9615,0.98782,0.86467,0.55138,0.90561,0.30842,0.83043,0.000206005,0.000206005,0.000206005
116,5373.45,0.46252,0.63311,0.24316,0.8179,0.99148,0.96328,0.9911,0.91152,0.99148,0.96328,0.98983,0.86866,0.54475,0.86611,0.30205,0.82777,0.000195978,0.000195978,0.000195978
117,5420.2,0.44653,0.62137,0.23878,0.81145,0.98439,0.9768,0.99086,0.91088,0.97887,0.97492,0.9893,0.86744,0.54284,0.87581,0.30343,0.82662,0.000186181,0.000186181,0.000186181
118,5465.92,0.43796,0.61778,0.2355,0.80959,0.97922,0.97795,0.99169,0.91214,0.9793,0.97851,0.99182,0.86861,0.55215,0.88226,0.30308,0.82819,0.000176619,0.000176619,0.000176619
119,5511.78,0.42892,0.61339,0.23276,0.80918,0.97729,0.97696,0.99124,0.91149,0.97787,0.97752,0.99141,0.86889,0.54823,0.88141,0.30761,0.82835,0.000167296,0.000167296,0.000167296
120,5560,0.42717,0.60719,0.23042,0.80972,0.98928,0.97539,0.99195,0.91126,0.98631,0.97256,0.99166,0.86815,0.55466,0.89416,0.30313,0.83075,0.000158216,0.000158216,0.000158216
121,5606.76,0.43331,0.61409,0.23452,0.81124,0.98293,0.98002,0.99145,0.9127,0.98055,0.97929,0.99154,0.87074,0.54362,0.8926,0.30082,0.82865,0.000149383,0.000149383,0.000149383
122,5652.83,0.43073,0.60137,0.23197,0.80911,0.98247,0.98069,0.99134,0.9135,0.98427,0.97684,0.99028,0.87034,0.54796,0.89071,0.30027,0.8291,0.000140801,0.000140801,0.000140801
